,root,num_radicals,class,type,infinitive,languages,gloss
0,''',3,?-?,IRREGULAR,hâhû,B,"spew, spit out, vomit"
1,''d,3,?-?,,,B,take notice; (D) inform
2,''l,3,?-?,,,B,to cut
3,''l,3,?-?,IRREGULAR,e'ēlum,B,bind; (D) make contract; link
4,''r,3,?-?,e,,B,become awake
5,''r,3,a-a,,,B,"go, march; (D) instruct"
6,''r,3,a-i,,a'āru,"Ass, B","go forward, march; (D) instruct"
7,''š,3,a-a,,a'āšu,Ass,(Gtn) retch
8,'b',3,?-?,,,B,"become veiled, cloudy"
9,'bb,3,i-i,e,,B,"become (ritually) clean, become"
10,'bh,3,i-i,e,,B,gird; surround
11,'bk,3,a-u,,,"B, Ass","I send, lead, II uproot; upset; overturn"
12,'bl,3,a-a,,,"B, Ass","be dry; shrivel, wilt"
13,'bl,3,a-i,,,"B, Ass","carry, bring; (Gtn) look after; (S) deliver; (St1) be delivered; (St2) stir"
14,'br,3,?-i,,,B,embrace; I (D) embrace; bind (limbs). II to accuse
15,'br,3,i-i,e,,B,cross over
16,'bs,3,d-d,,,B,(D) fringe
17,'bt,3,a-u,,,"B, Ass","I destroy, ruin, lay waste; II (N) flee"
18,'bṭ,3,d-d,,,B,(D) take as pledge
19,'bṭ,3,i-i,e,,B,I swell up (of water or body parts); II bind
20,'db,3,i-i,e,,Ass,"blow away (of demons, storms)"
21,'dd,3,u-u,e,,B,become spiky
22,'dh,3,?-?,e,,B,cover with patches; (D) cover objects with a network
23,'dk,3,?-?,e,,B,cover with patches; (D) cover objects with a network
24,'dl,3,i-i,e,,B,lock
25,'dp,3,i-i,e,,B,"blow away (of demons, storms)"
26,'dq,3,i-i,ea,,B,dress
27,'dr,3,a-u,,,"B, Ass","I become worried, become disturbed; fear; II be dark, gloomy"
28,'dš,3,i-i,e,,B,become new; (D) resume; restore
29,'g',3,i-i,e,,B,"be careless, be negligent"
30,'gg,3,a-u,,,"B, Ass","be angry, be furious"
31,'gg,3,i-i,e,,B,scratch
32,'gm,3,?-?,,,B,be furious
33,'gr,3,a-u,,,"B, Ass","hire, rent"
34,'gr,3,i-i,e,,B,lie across
35,'h',3,?-?,,,B,(Gt) become brothers; (St) pair off; stand opposite to each other. (N) fraternize
36,'h',3,a-i,,,Ass,(Gt) become brothers; (St) pair off; stand opposite to each other. (N) fraternize
37,'hr,3,?-?,,,B,"be behind; (D) hold back, delay "
38,'hz,3,a-u,,,"B, Ass","take, grasp; embrace; seize; marry; learn"
39,'k',3,?-?,e,,B,"starve, deprive; (D) shortage of rain"
40,'kb,3,i-i,e,,B,"come close, approach (sexually); (Gt) come very close; (St) pack tightly together"
41,'kd,3,?-?,e,,B,"(D) revile, slander"
42,'kk,3,i-i,e,,B,scratch
